CollegeName,TotalRegistrations
VNR VIGNANA JYOTHI ENGINEERING COLLEGE,3
VAADGAVI ENGENEERING COLLEGE,3
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY RAJANNA SIRCILLA,3
"VARDHAMAN COLLEGE OF ENGINEERING, HYDERABAD",3
VNR VIGNAN JYOTHI INSTITUTE OF TECHNOLOGY,3
GETHANJALLI COLLEGE OF ENGINEERING AND TECHNOLOGY,3
BV RAJU INSTITUTE OF TECHNOLOGY NARSAPUR,3
VNR VIGNANA JYOTHI,3
VIGNANA BHARATHI INSTITUTE OF TECHNOLOGY (VBIT),3
VNR VIGANA JYOTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,3
ANURAG,3
ANURAGUNIVERSITY,3
VARDHMAN COLLEGE OF ENGINEERING,3
BVRITH HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN,3
VARDHAMAN COLLEGE,3
ST.MARY'S ENGINEERING COLLEGE,3
JNTUH COLLEGE OF RAJANNA SIRICILLA,3
NALLA NARSHIMHA REDDY,3
NALLA NARASIMHA REDDY,3
STANLEY COLLEGE OF ENGINEERING & TECHNOLOGY FOR WOMEN,3
NALLA NARASIMHA REDDY EDUCATIONAL SOCIETY,3
JNTUH-UCEJ,3
CHAITANYA BHARATHI IMSTITUTE OF TECHNOLOGY,3
"BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN (BVRIT-H), HYDERABAD",3
KSR INSTITUTE FOR ENGINEERING AND TECHNOLOGY,3
VARDHAMAN COLLEGE OF ENGINEERING (VCE) HYDERABAD,3
NALLA NARSIMHA REDDY,3
BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMENS,3
SRIDEVIWOMENS ENGINERING COLLEGE,3
ANURAAG UNIVERSITY,3
NALLA NARASIMHA REDDY COLLEGE OF ENGINEERING,3
TKR,3
MVSR ENGG COLLEGE,3
JOGINAPALLY BR ENGINEERING COLLEGE,3
JBREC,3
JNTUH COLLEGE OF ENGINEERING JAGITYAL,3
GOVERNMENT DEGREE COLLEGE KHAIRATHABAD,3
GITAM-HYDERABAD,3
PRAGATHI DEGREE COLLEGE,3
SRI CHAITANYA JR COLLEGE,3
DAITA MADHUSUDANA SASTRY SRI VENKATESWARA HINDU COLLEGE OF ENGINEERING,3
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AFFILIATED TO JNTUH),3
RAGIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,3
VIGANA BHARATHI INSTITUTE OF TECHNOLOGY,3
UNIVERSITY COLLEGE OF SCIENCE (SAIFABAD),3
JAYAMUKHI INSTITUTE OF TECHNOLOGICAL AND SCIENCES,3
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY,3
ST.ANNS COLLEGE OF ENGINEERING AND TECHNOLOGY,3
OSMANIA,3
NARSHIMHA REDDY ENGINEERING COLLEGE,3
SPHOORTHY ENGINNERING COLLEGE,3
Jntuh,3
Malla Reddy University,3
Vijay Rural Engineering College,3
NSRIT,2
VIDYA JYOTHI INSTITUE OF TECHNOLOGY,2
OSMANIA COLLEGE,2
IIT GUWAHATI,2
"CMR TECHNICAL CAMPUS, HYDERABAD",2
MUTHAYAMMAL ENGINEERING COLLEGE,2
KESHAV MEMORIAL COLLEGE OF ENGINEERING,2
SRI KRISHNADEVARAYA UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY,2
BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,2
LOYOLA ACADEMY,2
GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY,2
IIT DELHI,2
R.M.K ENGINEERING COLLEGE,2
UNIVERSITY AT BUFFALO,2
AVINASH COLLEGE OF COMMERCE,2
MAHATMA GANDHI INSTITUTION OF TECHNOLOGY,2
SRI VENKATESWARA UNIVERSITY COLLEGE OF ENGINEERING,2
LORDS INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
VELLORE INSTITUTE OF TECHNOLOGY - AP,2
"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",2
NORTHWEST MISSOURI STATE UNIVERSITY,2
NATIONAL INSTITUTE OF TECHNOLOGY CALICUT,2
PES UNIVERSITY,2
ELLENKI COLLEGE OF ENGINEERING AND TECHNOLOGY,2
SAGI RAMAKRISHNAM RAJU ENGINEERING COLLEGE,2
INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
IIT ROORKEE,2
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY KAKINADA,2
NARAYANA ENGINEERING COLLEGE,2
JNTU KAKINADA,2
SAINT LOUIS UNIVERSITY,2
SWAMI VIVEKANANDA INSTITUTE OF TECHNOLOGY,2
CMRIT,2
SREENIDHI INSTITUE OF SCIENCE AND TECHNOLOGY,2
NORTHEASTERN UNIVERSITY,2
AMRITA VISHWA VIDYA PEETHAM,2
BENNETT UNIVERSITY,2
PUDUCHERRY TECHNOLOGICAL UNIVERSITY,2
NATIONAL INSTITUTE OF TECHNOLOGY DURGAPUR,2
DR.M.G.R EDUCATIONAL AND RESEARCH INSTITUTE,2
"AMRITA VISHWA VIDYAPEETHAM, AMRITAPURI",2
ST. MARTINS ENGINEERING COLLEGE,2
SANSKRITHI SCHOOL OF ENGINEERING,2
METHODIST COLLEGE OF ENGINEERING & TECHNOLOGY,2
SREE CHAITANYA COLLEGE OF ENGINEERING,2
VELLORE INSTITUTE OF TECHNOLOGY CHENNAI,2
SREENIDHI INSTUITE OF SCIENCE AND TECHNOLOGY,2
NBKR INSTITUTE OF SCIENCE AND TECHNOLOGY,2
VIT VELLORE,2
AMITY UNIVERSITY,2
CAPGEMINI,2
